sampled_medoids	sampled_rap	sampled_nonrap	rap_fraction	multi_families	pure_rap_families	mixed_families	pure_nonrap_families	medoids_in_multi	within_family_pairs	rap_rap_pairs	rap_nonrap_pairs	nonrap_nonrap_pairs	expected_rap_rap_pairs_random	rap_rap_enrichment	rap_neighbor_homophily	homophily_lift_over_pool	target_rap_size	replicate	seed	alpha	threshold
655	100	555	0.15267175572519084	132	11	3	118	308	234	12	4	218	5.407941732614329	2.2189588189588187	0.8571428571428571	5.614285714285714	100	36	20260905	0.1	0.8
655	100	555	0.15267175572519084	129	9	5	115	308	246	15	14	217	5.685272077876602	2.6383961566888394	0.6818181818181818	4.465909090909091	100	37	20260905	0.1	0.8
655	100	555	0.15267175572519084	133	10	9	114	313	241	12	14	215	5.569717767350655	2.1545077329309694	0.631578947368421	4.136842105263158	100	38	20260905	0.1	0.8
655	100	555	0.15267175572519084	129	5	6	118	301	228	5	7	216	5.269276559983192	0.9488968633705476	0.5882352941176471	3.8529411764705883	100	39	20260905	0.1	0.8
655	100	555	0.15267175572519084	136	12	10	114	319	245	12	16	217	5.6621612157714125	2.119332096474954	0.6	3.9299999999999997	100	40	20260905	0.1	0.8
655	100	555	0.15267175572519084	130	10	4	116	310	245	16	8	221	5.6621612157714125	2.8257761286332714	0.8	5.24	100	41	20260905	0.1	0.8
655	100	555	0.15267175572519084	128	8	5	115	307	246	16	9	221	5.685272077876602	2.814289233801429	0.7804878048780488	5.11219512195122	100	42	20260905	0.1	0.8
655	100	555	0.15267175572519084	130	7	4	119	303	229	7	5	217	5.292387422088382	1.3226544925234882	0.7368421052631579	4.826315789473684	100	43	20260905	0.1	0.8
655	100	555	0.15267175572519084	135	12	4	119	314	237	16	4	217	5.477274318929897	2.921160976857179	0.8888888888888888	5.822222222222222	100	44	20260905	0.1	0.8
655	100	555	0.15267175572519084	132	10	6	116	310	239	15	7	217	5.523496043140276	2.715671357930772	0.8108108108108109	5.3108108108108105	100	45	20260905	0.1	0.8
655	100	555	0.15267175572519084	132	12	2	118	309	236	14	3	219	5.454163456824708	2.5668464304057523	0.9032258064516129	5.916129032258064	100	46	20260905	0.1	0.8
655	100	555	0.15267175572519084	137	14	7	116	321	244	19	9	216	5.6390503536662235	3.3693616492796816	0.8085106382978723	5.2957446808510635	100	47	20260905	0.1	0.8
655	100	555	0.15267175572519084	137	15	4	118	320	244	17	6	221	5.6390503536662235	3.0146920019870835	0.85	5.5675	100	48	20260905	0.1	0.8
655	100	555	0.15267175572519084	133	9	8	116	312	236	12	11	213	5.454163456824708	2.2001540832049304	0.6857142857142857	4.491428571428571	100	49	20260905	0.1	0.8
655	100	555	0.15267175572519084	132	9	7	116	312	243	12	13	218	5.615939491561034	2.136775158997381	0.6486486486486487	4.248648648648649	100	50	20260905	0.1	0.8
655	100	555	0.15267175572519084	133	11	4	118	309	234	11	5	218	5.407941732614329	2.0340455840455838	0.8148148148148148	5.337037037037037	100	51	20260905	0.1	0.8
655	100	555	0.15267175572519084	132	10	3	119	309	236	13	4	219	5.454163456824708	2.383500256805341	0.8666666666666667	5.676666666666667	100	52	20260905	0.1	0.8
655	100	555	0.15267175572519084	139	16	4	119	324	245	21	5	219	5.6621612157714125	3.708831168831169	0.8936170212765957	5.853191489361702	100	53	20260905	0.1	0.8
655	100	555	0.15267175572519084	130	9	2	119	306	236	12	4	220	5.454163456824708	2.2001540832049304	0.8571428571428571	5.614285714285714	100	54	20260905	0.1	0.8
655	100	555	0.15267175572519084	138	14	8	116	322	244	17	11	216	5.6390503536662235	3.0146920019870835	0.7555555555555555	4.948888888888889	100	55	20260905	0.1	0.8
